Date,DEX,Values,Blockchain
2023-05-12,Hashflow,533,Avalanche
2023-05-12,KyberSwap,555,Avalanche
2023-05-12,Pangolin,6215,Avalanche
2023-05-12,Platypus,1070,Avalanche
2023-05-12,Sushiswap,1169,Avalanche
2023-05-12,Trader Joe,28471,Avalanche
2023-05-12,WOOFi,10816,Avalanche
2023-05-12,Balancer,567,Ethereum
2023-05-12,Curve,1162,Ethereum
2023-05-12,DODO,109,Ethereum
2023-05-12,Fraxswap,111,Ethereum
2023-05-12,Hashflow,210,Ethereum
2023-05-12,KyberSwap,23,Ethereum
2023-05-12,PancakeSwap,654,Ethereum
2023-05-12,Shibaswap,949,Ethereum
2023-05-12,Sushiswap,3590,Ethereum
2023-05-12,Synthetix,1,Ethereum
2023-05-12,Uniswap,251477,Ethereum
2023-05-12,Beethoven X,1180,Optimism
2023-05-12,Curve,936,Optimism
2023-05-12,Fraxswap,42,Optimism
2023-05-12,KyberSwap,234,Optimism
2023-05-12,Sushiswap,1067,Optimism
2023-05-12,Synthetix,48,Optimism
2023-05-12,Uniswap,37434,Optimism
2023-05-12,Velodrome,12509,Optimism
2023-05-12,WOOFi,1556,Optimism
2023-05-12,Balancer,3882,Polygon
2023-05-12,Curve,1069,Polygon
2023-05-12,DODO,2706,Polygon
2023-05-12,Fraxswap,936,Polygon
2023-05-12,KyberSwap,2131,Polygon
2023-05-12,QuickSwap,48387,Polygon
2023-05-12,Sushiswap,10161,Polygon
2023-05-12,Uniswap,66386,Polygon
2023-05-12,WOOFi,6776,Polygon
2023-05-11,Curve,454,Avalanche
2023-05-11,Fraxswap,64,Avalanche
2023-05-11,GMX,539,Avalanche
2023-05-11,Hashflow,428,Avalanche
2023-05-11,KyberSwap,457,Avalanche
2023-05-11,Pangolin,4454,Avalanche
2023-05-11,Platypus,1022,Avalanche
2023-05-11,Sushiswap,923,Avalanche
2023-05-11,Trader Joe,24995,Avalanche
2023-05-11,WOOFi,7536,Avalanche
2023-05-11,Balancer,450,Ethereum
2023-05-11,Curve,849,Ethereum
2023-05-11,DODO,56,Ethereum
2023-05-11,Fraxswap,140,Ethereum
2023-05-11,Hashflow,158,Ethereum
2023-05-11,KyberSwap,21,Ethereum
2023-05-11,Maverick,1,Ethereum
2023-05-11,PancakeSwap,541,Ethereum
2023-05-11,Shibaswap,720,Ethereum
2023-05-11,Sushiswap,2891,Ethereum
2023-05-11,Synthetix,1,Ethereum
2023-05-11,Uniswap,307903,Ethereum
2023-05-11,Beethoven X,992,Optimism
2023-05-11,Curve,851,Optimism
2023-05-11,Fraxswap,44,Optimism
2023-05-11,KyberSwap,198,Optimism
2023-05-11,Sushiswap,806,Optimism
2023-05-11,Synthetix,28,Optimism
2023-05-11,Uniswap,29179,Optimism
2023-05-11,Velodrome,10981,Optimism
2023-05-11,WOOFi,1068,Optimism
2023-05-11,Balancer,3316,Polygon
2023-05-11,Curve,1195,Polygon
2023-05-11,DODO,2831,Polygon
2023-05-11,Fraxswap,972,Polygon
2023-05-11,KyberSwap,2276,Polygon
2023-05-11,QuickSwap,45626,Polygon
2023-05-11,Sushiswap,9993,Polygon
2023-05-11,Uniswap,61910,Polygon
2023-05-11,WOOFi,5711,Polygon
2023-05-10,Curve,698,Avalanche
2023-05-10,Fraxswap,116,Avalanche
2023-05-10,GMX,1109,Avalanche
2023-05-10,Hashflow,492,Avalanche
2023-05-10,KyberSwap,569,Avalanche
2023-05-10,Pangolin,4643,Avalanche
2023-05-10,Platypus,1056,Avalanche
2023-05-10,Sushiswap,1218,Avalanche
2023-05-10,Trader Joe,28029,Avalanche
2023-05-10,WOOFi,6962,Avalanche
2023-05-10,Balancer,371,Ethereum
2023-05-10,Curve,927,Ethereum
2023-05-10,DODO,51,Ethereum
2023-05-10,Fraxswap,96,Ethereum
2023-05-10,Hashflow,204,Ethereum
2023-05-10,KyberSwap,10,Ethereum
2023-05-10,Maverick,38,Ethereum
2023-05-10,PancakeSwap,562,Ethereum
2023-05-10,Shibaswap,711,Ethereum
2023-05-10,Sushiswap,2754,Ethereum
2023-05-10,Synthetix,4,Ethereum
2023-05-10,Uniswap,288069,Ethereum
2023-05-10,Beethoven X,1087,Optimism
2023-05-10,Curve,905,Optimism
2023-05-10,Fraxswap,51,Optimism
2023-05-10,KyberSwap,156,Optimism
2023-05-10,Sushiswap,1027,Optimism
2023-05-10,Synthetix,30,Optimism
2023-05-10,Uniswap,29392,Optimism
2023-05-10,Velodrome,9522,Optimism
2023-05-10,WOOFi,997,Optimism
2023-05-10,Balancer,3549,Polygon
2023-05-10,Curve,1063,Polygon
2023-05-10,DODO,2796,Polygon
2023-05-10,Fraxswap,1721,Polygon
