Date,Exchange,Values,Blockchain
2023-09-17,PancakeSwap,525,Ethereum
2023-09-17,ShibaSwap,352,Ethereum
2023-09-17,Sushiswap,1548,Ethereum
2023-09-17,Trader Joe,3,Ethereum
2023-09-17,Uniswap,40930,Ethereum
2023-09-17,Beethoven X,314,Optimism
2023-09-17,Curve,274,Optimism
2023-09-17,Fraxswap,6,Optimism
2023-09-17,KyberSwap,23,Optimism
2023-09-17,Sushiswap,270,Optimism
2023-09-17,Synthetix,1,Optimism
2023-09-17,Uniswap,7980,Optimism
2023-09-17,Velodrome,2677,Optimism
2023-09-17,WOOFi,699,Optimism
2023-09-17,Balancer,818,Polygon
2023-09-17,Curve,187,Polygon
2023-09-17,DODO,818,Polygon
2023-09-17,Fraxswap,45,Polygon
2023-09-17,KyberSwap,287,Polygon
2023-09-17,QuickSwap,8762,Polygon
2023-09-17,Sushiswap,3786,Polygon
2023-09-17,Uniswap,10285,Polygon
2023-09-17,WOOFi,974,Polygon
2023-09-16,Balancer,874,Arbitrum
2023-09-16,Camelot,1551,Arbitrum
2023-09-16,Curve,14,Arbitrum
2023-09-16,DODO,332,Arbitrum
2023-09-16,Fraxswap,14,Arbitrum
2023-09-16,GMX,121,Arbitrum
2023-09-16,KyberSwap,576,Arbitrum
2023-09-16,Sushiswap,1884,Arbitrum
2023-09-16,Trader Joe,1497,Arbitrum
2023-09-16,Uniswap,9408,Arbitrum
2023-09-16,WOOFi,1225,Arbitrum
2023-09-16,Zyberswap,273,Arbitrum
2023-09-16,Balancer,51,Avalanche
2023-09-16,Curve,127,Avalanche
2023-09-16,Fraxswap,16,Avalanche
2023-09-16,GMX,119,Avalanche
2023-09-16,Hashflow,14,Avalanche
2023-09-16,KyberSwap,219,Avalanche
2023-09-16,Pangolin,1036,Avalanche
2023-09-16,Platypus,216,Avalanche
2023-09-16,Sushiswap,436,Avalanche
2023-09-16,Trader Joe,5427,Avalanche
2023-09-16,Uniswap,693,Avalanche
2023-09-16,WOOFi,995,Avalanche
2023-09-16,Balancer,379,Ethereum
2023-09-16,Curve,494,Ethereum
2023-09-16,DODO,124,Ethereum
2023-09-16,Fraxswap,26,Ethereum
2023-09-16,Hashflow,82,Ethereum
2023-09-16,KyberSwap,37,Ethereum
2023-09-16,PancakeSwap,507,Ethereum
2023-09-16,ShibaSwap,402,Ethereum
2023-09-16,Sushiswap,1594,Ethereum
2023-09-16,Trader Joe,3,Ethereum
2023-09-16,Uniswap,44543,Ethereum
2023-09-16,Beethoven X,328,Optimism
2023-09-16,Curve,444,Optimism
2023-09-16,Fraxswap,7,Optimism
2023-09-16,KyberSwap,15,Optimism
2023-09-16,Sushiswap,231,Optimism
2023-09-16,Synthetix,1,Optimism
2023-09-16,Uniswap,8510,Optimism
2023-09-16,Velodrome,2656,Optimism
2023-09-16,WOOFi,739,Optimism
2023-09-16,Balancer,1044,Polygon
2023-09-16,Curve,222,Polygon
2023-09-16,DODO,1054,Polygon
2023-09-16,Fraxswap,33,Polygon
2023-09-16,KyberSwap,437,Polygon
2023-09-16,QuickSwap,8845,Polygon
2023-09-16,Sushiswap,3556,Polygon
2023-09-16,Uniswap,11472,Polygon
