Date,DEX,Values,Blockchain
2023-04-29,Shibaswap,518,Ethereum
2023-04-29,Sushiswap,1662,Ethereum
2023-04-29,Uniswap,50392,Ethereum
2023-04-29,Beethoven X,618,Optimism
2023-04-29,Curve,506,Optimism
2023-04-29,Fraxswap,2,Optimism
2023-04-29,KyberSwap,232,Optimism
2023-04-29,Sushiswap,728,Optimism
2023-04-29,Synthetix,24,Optimism
2023-04-29,Uniswap,7291,Optimism
2023-04-29,Velodrome,3887,Optimism
2023-04-29,WOOFi,586,Optimism
2023-04-29,Balancer,1137,Polygon
2023-04-29,Curve,257,Polygon
2023-04-29,DODO,904,Polygon
2023-04-29,Fraxswap,16,Polygon
2023-04-29,KyberSwap,1175,Polygon
2023-04-29,QuickSwap,10926,Polygon
2023-04-29,Sushiswap,4428,Polygon
2023-04-29,Uniswap,13602,Polygon
2023-04-29,WOOFi,896,Polygon
2023-04-28,Curve,211,Avalanche
2023-04-28,Fraxswap,41,Avalanche
2023-04-28,GMX,142,Avalanche
2023-04-28,Hashflow,229,Avalanche
2023-04-28,KyberSwap,431,Avalanche
2023-04-28,Pangolin,1289,Avalanche
2023-04-28,Platypus,333,Avalanche
2023-04-28,Sushiswap,607,Avalanche
2023-04-28,Trader Joe,11504,Avalanche
2023-04-28,WOOFi,2334,Avalanche
2023-04-28,Balancer,266,Ethereum
2023-04-28,Curve,553,Ethereum
2023-04-28,DODO,33,Ethereum
2023-04-28,Fraxswap,46,Ethereum
2023-04-28,Hashflow,121,Ethereum
2023-04-28,KyberSwap,22,Ethereum
2023-04-28,Maverick,372,Ethereum
2023-04-28,PancakeSwap,416,Ethereum
2023-04-28,Shibaswap,523,Ethereum
2023-04-28,Sushiswap,2649,Ethereum
2023-04-28,Synthetix,1,Ethereum
2023-04-28,Uniswap,50393,Ethereum
2023-04-28,Beethoven X,674,Optimism
2023-04-28,Curve,585,Optimism
2023-04-28,Fraxswap,7,Optimism
2023-04-28,KyberSwap,258,Optimism
2023-04-28,Sushiswap,707,Optimism
2023-04-28,Synthetix,33,Optimism
2023-04-28,Uniswap,7326,Optimism
2023-04-28,Velodrome,3911,Optimism
2023-04-28,WOOFi,527,Optimism
2023-04-28,Balancer,1433,Polygon
2023-04-28,Curve,385,Polygon
2023-04-28,DODO,903,Polygon
2023-04-28,Fraxswap,21,Polygon
2023-04-28,KyberSwap,1381,Polygon
2023-04-28,QuickSwap,12707,Polygon
2023-04-28,Sushiswap,4842,Polygon
2023-04-28,Uniswap,14549,Polygon
2023-04-28,WOOFi,1128,Polygon
2023-04-27,Curve,220,Avalanche
2023-04-27,Fraxswap,36,Avalanche
2023-04-27,GMX,289,Avalanche
2023-04-27,Hashflow,184,Avalanche
2023-04-27,KyberSwap,479,Avalanche
2023-04-27,Pangolin,1603,Avalanche
2023-04-27,Platypus,303,Avalanche
2023-04-27,Sushiswap,616,Avalanche
2023-04-27,Trader Joe,11351,Avalanche
2023-04-27,WOOFi,2654,Avalanche
2023-04-27,Balancer,321,Ethereum
2023-04-27,Curve,579,Ethereum
2023-04-27,DODO,52,Ethereum
2023-04-27,Fraxswap,39,Ethereum
2023-04-27,Hashflow,122,Ethereum
2023-04-27,KyberSwap,30,Ethereum
2023-04-27,Maverick,399,Ethereum
2023-04-27,PancakeSwap,476,Ethereum
2023-04-27,Shibaswap,491,Ethereum
2023-04-27,Sushiswap,2163,Ethereum
2023-04-27,Synthetix,6,Ethereum
2023-04-27,Uniswap,46793,Ethereum
2023-04-27,Beethoven X,980,Optimism
2023-04-27,Curve,718,Optimism
2023-04-27,Fraxswap,12,Optimism
2023-04-27,KyberSwap,395,Optimism
2023-04-27,Sushiswap,709,Optimism
2023-04-27,Synthetix,43,Optimism
2023-04-27,Uniswap,7997,Optimism
2023-04-27,Velodrome,3578,Optimism
2023-04-27,WOOFi,490,Optimism
2023-04-27,Balancer,1330,Polygon
2023-04-27,Curve,354,Polygon
2023-04-27,DODO,915,Polygon
2023-04-27,Fraxswap,59,Polygon
2023-04-27,KyberSwap,1682,Polygon
