Date,Marketplace,Values,Blockchain
2023-04-22,LooksRare,5406364.706,Ethereum
2023-04-22,NFTX,357964.6511,Ethereum
2023-04-22,OpenSea,7858649.971,Ethereum
2023-04-22,Rarible,2695.98761,Ethereum
2023-04-22,Sudoswap,54586.76,Ethereum
2023-04-22,X2Y2,4394477.124,Ethereum
2023-04-22,Quix,5586.14,Optimism
2023-04-22,OpenSea,472875.6484,Polygon
2023-04-22,Coral Cube,17955.32902,Solana
2023-04-22,Exchange Art,3290.574631,Solana
2023-04-22,Hadeswap,695149.4187,Solana
2023-04-22,Hyperspace,71765.17208,Solana
2023-04-22,Magic Eden,6223874.724,Solana
2023-04-22,Solanart,2221.304292,Solana
2023-04-22,Tensor,4001567.047,Solana
2023-04-21,Blur,32116204.94,Ethereum
2023-04-21,Larva Labs,1402838.63,Ethereum
2023-04-21,LooksRare,6660083.598,Ethereum
2023-04-21,NFTX,250933.6363,Ethereum
2023-04-21,OpenSea,10445571.57,Ethereum
2023-04-21,Rarible,16301.51513,Ethereum
2023-04-21,Sudoswap,49476.5,Ethereum
2023-04-21,X2Y2,5870844.007,Ethereum
2023-04-21,Quix,19834.04,Optimism
2023-04-21,OpenSea,708824.2317,Polygon
2023-04-21,Coral Cube,22395.53835,Solana
2023-04-21,Exchange Art,12744.78994,Solana
2023-04-21,Hadeswap,65736.13425,Solana
2023-04-21,Hyperspace,1317.118439,Solana
2023-04-21,Magic Eden,946605.1623,Solana
2023-04-21,Solanart,8794.141115,Solana
2023-04-21,Tensor,582748.9373,Solana
2023-04-20,Blur,28036882.88,Ethereum
2023-04-20,Larva Labs,685854.99,Ethereum
2023-04-20,LooksRare,8745945.328,Ethereum
2023-04-20,NFTX,203331.7198,Ethereum
2023-04-20,OpenSea,7858197.614,Ethereum
2023-04-20,Rarible,5015.336057,Ethereum
2023-04-20,Sudoswap,53847.07,Ethereum
2023-04-20,X2Y2,5340371.412,Ethereum
2023-04-20,Quix,30910.9,Optimism
2023-04-20,OpenSea,849834.1504,Polygon
2023-04-20,Coral Cube,25558.00206,Solana
2023-04-20,Exchange Art,12691.33823,Solana
2023-04-20,Hadeswap,77512.61903,Solana
2023-04-20,Hyperspace,1677.120832,Solana
2023-04-20,Magic Eden,1067445.193,Solana
2023-04-20,Solanart,4311.580808,Solana
2023-04-20,Tensor,588352.0794,Solana
2023-04-19,Blur,29955157.8,Ethereum
2023-04-19,Larva Labs,217620.25,Ethereum
2023-04-19,LooksRare,4379595.306,Ethereum
2023-04-19,NFTX,63392.78327,Ethereum
2023-04-19,OpenSea,7438879.392,Ethereum
2023-04-19,Rarible,13294.14621,Ethereum
2023-04-19,Sudoswap,29730.13,Ethereum
2023-04-19,X2Y2,4521871.603,Ethereum
2023-04-19,Quix,8368.51,Optimism
2023-04-19,OpenSea,1451691.805,Polygon
2023-04-19,Coral Cube,26720.61738,Solana
2023-04-19,Exchange Art,14557.85019,Solana
2023-04-19,Hadeswap,71983.74441,Solana
2023-04-19,Hyperspace,2195.410989,Solana
2023-04-19,Magic Eden,1327696.835,Solana
2023-04-19,Solanart,625.6429166,Solana
2023-04-19,Tensor,667442.9481,Solana
