Date,Blockchain,Values
2023-03-12,Solana,101274
2023-03-11,Arbitrum,77856
2023-03-11,Avalanche,25742
2023-03-11,Axelar,1871
2023-03-11,BSC,1154830
2023-03-11,Cosmos,16654
2023-03-11,Ethereum,307256
2023-03-11,Gnosis,3175
2023-03-11,NEAR,43878
2023-03-11,Optimism,34360
2023-03-11,Osmosis,38420
2023-03-11,Polygon,317153
2023-03-11,Solana,109750
2023-03-10,Arbitrum,93094
2023-03-10,Avalanche,21146
2023-03-10,Axelar,1680
2023-03-10,BSC,1170984
2023-03-10,Cosmos,16259
2023-03-10,Ethereum,343510
2023-03-10,Gnosis,6602
2023-03-10,NEAR,53662
2023-03-10,Optimism,42798
2023-03-10,Osmosis,52519
2023-03-10,Polygon,394052
2023-03-10,Solana,104115
2023-03-09,Arbitrum,89865
2023-03-09,Avalanche,22949
2023-03-09,Axelar,1693
2023-03-09,BSC,1183903
2023-03-09,Cosmos,15789
2023-03-09,Ethereum,345694
2023-03-09,Gnosis,4506
2023-03-09,NEAR,56876
2023-03-09,Optimism,58398
2023-03-09,Osmosis,14482
2023-03-09,Polygon,330634
2023-03-09,Solana,135372
2023-03-08,Arbitrum,99630
2023-03-08,Avalanche,18247
2023-03-08,Axelar,1640
2023-03-08,BSC,1121963
2023-03-08,Cosmos,14721
2023-03-08,Ethereum,324265
2023-03-08,Gnosis,3402
2023-03-08,NEAR,44775
2023-03-08,Optimism,43212
2023-03-08,Osmosis,13698
2023-03-08,Polygon,312706
2023-03-08,Solana,106476
2023-03-07,Arbitrum,103962
2023-03-07,Avalanche,17153
2023-03-07,Axelar,1625
2023-03-07,BSC,1106109
2023-03-07,Cosmos,17092
2023-03-07,Ethereum,329455
2023-03-07,Gnosis,3466
2023-03-07,NEAR,50624
2023-03-07,Optimism,31123
2023-03-07,Osmosis,14601
2023-03-07,Polygon,313049
2023-03-07,Solana,109107
2023-03-06,Arbitrum,90774
2023-03-06,Avalanche,21465
2023-03-06,Axelar,1660
2023-03-06,BSC,1243501
2023-03-06,Cosmos,18380
2023-03-06,Ethereum,331703
2023-03-06,Gnosis,2763
2023-03-06,NEAR,76422
2023-03-06,Optimism,27552
2023-03-06,Osmosis,14530
2023-03-06,Polygon,317994
2023-03-06,Solana,117573
2023-03-05,Arbitrum,76106
2023-03-05,Avalanche,22944
2023-03-05,Axelar,1636
2023-03-05,BSC,1199165
2023-03-05,Cosmos,17244
2023-03-05,Ethereum,301250
2023-03-05,Gnosis,2678
2023-03-05,NEAR,55594
