Date,Blockchain,DEX,Values
2023-01-16,Ethereum,Uniswap,115798
2023-01-15,Ethereum,Balancer,2560
2023-01-15,Ethereum,Curve,2982
2023-01-15,Ethereum,Sushi,9116
2023-01-15,Ethereum,Synthetix,33
2023-01-15,Ethereum,Uniswap,105502
2023-01-14,Ethereum,Balancer,2821
2023-01-14,Ethereum,Curve,2962
2023-01-14,Ethereum,Sushi,10211
2023-01-14,Ethereum,Synthetix,58
2023-01-14,Ethereum,Uniswap,124153
2023-01-13,Ethereum,Balancer,1695
2023-01-13,Ethereum,Curve,2048
2023-01-13,Ethereum,Sushi,6689
2023-01-13,Ethereum,Synthetix,22
2023-01-13,Ethereum,Uniswap,107382
2023-01-12,Ethereum,Balancer,1622
2023-01-12,Ethereum,Curve,2495
2023-01-12,Ethereum,Sushi,7431
2023-01-12,Ethereum,Synthetix,48
2023-01-12,Ethereum,Uniswap,117259
2023-01-11,Ethereum,Balancer,1304
2023-01-11,Ethereum,Curve,1946
2023-01-11,Ethereum,Sushi,6194
2023-01-11,Ethereum,Synthetix,14
2023-01-11,Ethereum,Uniswap,110065
2023-01-10,Ethereum,Balancer,980
2023-01-10,Ethereum,Curve,1633
2023-01-10,Ethereum,Sushi,5705
2023-01-10,Ethereum,Synthetix,9
2023-01-10,Ethereum,Uniswap,110521
2023-01-09,Ethereum,Balancer,1306
2023-01-09,Ethereum,Curve,1969
2023-01-09,Ethereum,Sushi,6222
2023-01-09,Ethereum,Synthetix,26
2023-01-09,Ethereum,Uniswap,116668
2023-01-08,Ethereum,Balancer,884
2023-01-08,Ethereum,Curve,1157
2023-01-08,Ethereum,Sushi,4730
2023-01-08,Ethereum,Synthetix,9
2023-01-08,Ethereum,Uniswap,97069
2023-01-07,Ethereum,Balancer,639
2023-01-07,Ethereum,Curve,1055
2023-01-07,Ethereum,Sushi,4482
2023-01-07,Ethereum,Synthetix,3
2023-01-07,Ethereum,Uniswap,92227
2023-01-06,Ethereum,Balancer,959
2023-01-06,Ethereum,Curve,1304
2023-01-06,Ethereum,Sushi,4060
2023-01-06,Ethereum,Synthetix,19
2023-01-06,Ethereum,Uniswap,109817
2023-01-05,Ethereum,Balancer,743
2023-01-05,Ethereum,Curve,1273
2023-01-05,Ethereum,Sushi,4108
2023-01-05,Ethereum,Synthetix,13
2023-01-05,Ethereum,Uniswap,116740
2023-01-04,Ethereum,Balancer,1102
2023-01-04,Ethereum,Curve,1527
2023-01-04,Ethereum,Sushi,5201
